Crime level,Crime level code,Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Medium,2,M4M,East Toronto,Studio District,43.6595255,-79.340923,0,Coffee Shop,Café,Park,Diner,Bar,Bakery,Vietnamese Restaurant,Pub,Brewery,Restaurant
Low,1,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,0,Coffee Shop,Sushi Restaurant,Italian Restaurant,Bakery,Park,Café,Bank,Food Court,Asian Restaurant,Sandwich Place
Low,1,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,0,Coffee Shop,Italian Restaurant,Sushi Restaurant,Park,Restaurant,Bakery,Pizza Place,Indian Restaurant,Café,Deli / Bodega
Low,1,M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7153834,-79.4056784,0,Coffee Shop,Italian Restaurant,Café,Sushi Restaurant,Japanese Restaurant,Bakery,Fast Food Restaurant,Restaurant,Sporting Goods Shop,Gym
Low,1,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,0,Italian Restaurant,Coffee Shop,Pizza Place,Bakery,Restaurant,Café,Indian Restaurant,Park,Sushi Restaurant,Japanese Restaurant
Low,1,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599,0,Italian Restaurant,Park,Coffee Shop,Sushi Restaurant,Restaurant,Grocery Store,Gas Station,Thai Restaurant,Spa,Café
Low,1,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493,0,Italian Restaurant,Park,Café,Coffee Shop,Sushi Restaurant,French Restaurant,Burger Joint,Liquor Store,Bank,Spa
Low,1,M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294,0,Park,Italian Restaurant,Coffee Shop,Café,Grocery Store,Gourmet Shop,Indian Restaurant,Spa,French Restaurant,Sushi Restaurant
Medium,2,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,0,Coffee Shop,Café,Thai Restaurant,Pub,Japanese Restaurant,Dance Studio,Park,Diner,Gastropub,Bakery
High,3,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599,0,Coffee Shop,Park,Gastropub,Japanese Restaurant,Diner,Café,Italian Restaurant,Hotel,Restaurant,Grocery Store
