Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,0,Coffee Shop,Café,Japanese Restaurant,Thai Restaurant,Pub,Gastropub,Dance Studio,Diner,Bakery,Breakfast Spot
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.3831599,0,Coffee Shop,Park,Japanese Restaurant,Gastropub,Café,Italian Restaurant,Grocery Store,Diner,Hotel,Liquor Store
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,0,Coffee Shop,Café,Park,Restaurant,Farmers Market,Japanese Restaurant,Thai Restaurant,Diner,Pub,Food Truck
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,0,Coffee Shop,Gastropub,Café,Japanese Restaurant,Cosmetics Shop,Italian Restaurant,Restaurant,Bookstore,Burrito Place,Seafood Restaurant
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,0,Coffee Shop,Café,Hotel,Bakery,Farmers Market,Plaza,Restaurant,Seafood Restaurant,Thai Restaurant,Theater
M5E,Downtown Toronto,Berczy Park,43.6447708,-79.3733064,0,Coffee Shop,Café,Hotel,Park,Farmers Market,Plaza,Seafood Restaurant,Restaurant,Japanese Restaurant,Vegetarian / Vegan Restaurant
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,0,Coffee Shop,Restaurant,Park,Café,Ramen Restaurant,Thai Restaurant,Pizza Place,Plaza,Diner,Dance Studio
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6505712,-79.3845675,0,Coffee Shop,Café,Park,Restaurant,Sandwich Place,Hotel,Art Gallery,Thai Restaurant,Plaza,Pizza Place
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.3817523,0,Coffee Shop,Hotel,Café,Park,Restaurant,Japanese Restaurant,Brewery,Theater,Gym,Dessert Shop
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.3815764,0,Park,Coffee Shop,Café,Restaurant,Gym,Plaza,Art Gallery,Pizza Place,Hotel,Yoga Studio
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.3798169,0,Coffee Shop,Café,Park,Restaurant,Plaza,Art Gallery,Gym,Pizza Place,Thai Restaurant,Hotel
M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,0,Italian Restaurant,Coffee Shop,Sushi Restaurant,Bakery,Bagel Shop,Pizza Place,Café,Pub,Restaurant,Sandwich Place
